TIME,P,TAVG,PSGA,PSGB,LVPZ,TBLD,RM1,RBLK
2650,157.1152649,298.8098755,69.30924988,69.30928802,34.42699432,40,0.0011,3534.524902
2660,157.0796356,298.8072815,69.30988312,69.30992126,34.4308548,40,0.0011,3547.859863
2670,157.0991211,298.8074036,69.30902863,69.30906677,34.42724609,40,0.0011,3561.194824
2680,157.0828857,298.8077087,69.30904388,69.30908203,34.45101929,40,0.0011,3574.529785
2690,157.0889587,298.8079224,69.30945587,69.30949402,34.44537354,40,0.0011,3587.864746
2700,157.0912781,298.8080444,69.30912018,69.30915833,34.45057678,40,0.0011,3601.199707
2710,157.0849304,298.8082275,69.3093338,69.30937195,34.45277405,40,0.0011,3614.534668
2720,157.1053009,298.807373,69.30921173,69.30924988,34.46731186,40,0.0011,3627.869629
2730,157.1103821,298.8090515,69.30949402,69.30953217,34.46464157,40,0.0011,3641.20459
2740,157.0859833,298.808136,69.30948639,69.30953217,34.46854782,40,0.0011,3654.539551
2750,157.0864563,298.8079224,69.30953217,69.30957031,34.48984146,40,0.0011,3667.874512
2760,157.0933838,298.8078308,69.30963898,69.30967712,34.4857254,40,0.0011,3681.209473
2770,157.1012421,298.8082275,69.30923462,69.30927277,34.48159409,40,0.0011,3694.544434
2780,157.0907593,298.8075562,69.30950928,69.30954742,34.49801254,40,0.0011,3707.879395
2790,157.0780945,298.8079224,69.30937195,69.3094101,34.51396942,40,0.0011,3721.214355
2800,157.088623,298.8087769,69.3097229,69.30976105,34.50394058,40,0.0011,3734.549316
2810,157.098114,298.8088074,69.30963898,69.30967712,34.51710892,40,0.0011,3747.884277
2820,157.0799561,298.8083496,69.30967712,69.30971527,34.52702332,40,0.0011,3761.219238
2830,157.0806274,298.8078613,69.30979919,69.30983734,34.53543472,40,0.0011,3774.554199
2840,157.0917969,298.8078308,69.30969238,69.30973053,34.54823685,40,0.0011,3787.88916
2850,157.1163483,298.8080139,69.30977631,69.30980682,34.54386139,40,0.0011,3801.224121
2860,157.0836639,298.8084717,69.30986786,69.30990601,34.53505325,40,0.0011,3814.559082
2870,157.092392,298.809021,69.30979156,69.30982971,34.54965591,40,0.0011,3827.894043
2880,157.1103668,298.8084717,69.30990601,69.30994415,34.55038834,40,0.0011,3841.229004
2890,157.0850677,298.8088074,69.30980682,69.30984497,34.55977249,40,0.0011,3854.563965
2900,157.082962,298.8080444,69.30992889,69.30996704,34.58216095,40,0.0011,3867.898926
2910,157.1062927,298.8078613,69.3099823,69.31002045,34.5798645,40,0.0011,3881.233887
2920,157.0882568,298.8080139,69.30991364,69.30995178,34.59815598,40,0.0011,3894.568848
2930,157.0955048,298.8088379,69.3099823,69.31001282,34.58416748,40,0.0011,3907.903809
2940,157.0976105,298.8088074,69.31004333,69.31008148,34.58808136,40,0.0011,3921.23877
2950,157.0828247,298.8085632,69.31002045,69.31006622,34.61427689,40,0.0011,3934.57373
2960,157.0805359,298.8082275,69.31013489,69.31017303,34.62300491,40,0.0011,3947.908691
2970,157.0875397,298.8089294,69.31015778,69.31019592,34.61278915,40,0.0011,3961.243652
2980,157.0932922,298.8092346,69.31014252,69.31018066,34.62784195,40,0.0011,3974.578613
2990,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,3987.913574
3000,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4001.248535
3010,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4014.583496
3020,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4027.918457
3030,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4041.253418
3040,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4054.588379
3050,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4067.92334
3060,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4081.258301
3070,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4094.593262
3080,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4107.932617
3090,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4121.272461
3100,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4134.612305
3110,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4147.952148
3120,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4161.291992
3130,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4174.631836
3140,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4187.97168
3150,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4201.311523
3160,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4214.651367
3170,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4227.991211
3180,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4241.331055
3190,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4254.670898
